month,genre,region,share
2025-05,R&B,Asia,0.0474
2025-06,R&B,Asia,0.0524
2023-10,Rock,Asia,0.0239
2023-11,Rock,Asia,0.0181
2023-12,Rock,Asia,0.026
2024-01,Rock,Asia,0.0277
2024-02,Rock,Asia,0.0245
2024-03,Rock,Asia,0.015
2024-04,Rock,Asia,0.0142
2024-05,Rock,Asia,0.0077
2024-06,Rock,Asia,0.0068
2024-07,Rock,Asia,0.0074
2024-08,Rock,Asia,0.0073
2024-09,Rock,Asia,0.0077
2024-10,Rock,Asia,0.0069
2024-11,Rock,Asia,0.0085
2024-12,Rock,Asia,0.009
2025-01,Rock,Asia,0.0226
2025-02,Rock,Asia,0.0113
2025-03,Rock,Asia,0.0005
2025-04,Rock,Asia,0.0028
2025-05,Rock,Asia,0.0042
2025-06,Rock,Asia,0.0047
2024-01,Classical,EU,0.0042
2025-01,Classical,EU,0.0001
2023-10,Country,EU,0.0338
2023-11,Country,EU,0.0355
2023-12,Country,EU,0.0146
2024-01,Country,EU,0.0717
2024-02,Country,EU,0.0712
2024-03,Country,EU,0.031
2024-04,Country,EU,0.0152
2024-05,Country,EU,0.0119
2024-06,Country,EU,0.0435
2024-07,Country,EU,0.0217
2024-08,Country,EU,0.0153
2024-09,Country,EU,0.0165
2024-10,Country,EU,0.0448
2024-11,Country,EU,0.046
2024-12,Country,EU,0.0251
2025-01,Country,EU,0.0267
2025-02,Country,EU,0.0142
2025-03,Country,EU,0.0084
2025-04,Country,EU,0.0144
2025-05,Country,EU,0.0216
2025-06,Country,EU,0.0405
2023-10,Electronic,EU,0.1407
2023-11,Electronic,EU,0.1577
2023-12,Electronic,EU,0.121
2024-01,Electronic,EU,0.1579
2024-02,Electronic,EU,0.1276
2024-03,Electronic,EU,0.1123
2024-04,Electronic,EU,0.1194
2024-05,Electronic,EU,0.1297
2024-06,Electronic,EU,0.1555
2024-07,Electronic,EU,0.1683
2024-08,Electronic,EU,0.1488
2024-09,Electronic,EU,0.0995
2024-10,Electronic,EU,0.0837
2024-11,Electronic,EU,0.0385
2024-12,Electronic,EU,0.0304
2025-01,Electronic,EU,0.0726
2025-02,Electronic,EU,0.0255
2025-03,Electronic,EU,0.0236
2025-04,Electronic,EU,0.0354
2025-05,Electronic,EU,0.0363
2025-06,Electronic,EU,0.0506
2023-10,Hip-Hop,EU,0.2213
2023-11,Hip-Hop,EU,0.1796
2023-12,Hip-Hop,EU,0.1781
2024-01,Hip-Hop,EU,0.2898
2024-02,Hip-Hop,EU,0.2975
2024-03,Hip-Hop,EU,0.3145
2024-04,Hip-Hop,EU,0.2508
2024-05,Hip-Hop,EU,0.35
2024-06,Hip-Hop,EU,0.3246
2024-07,Hip-Hop,EU,0.3338
2024-08,Hip-Hop,EU,0.2498
2024-09,Hip-Hop,EU,0.2602
2024-10,Hip-Hop,EU,0.2256
2024-11,Hip-Hop,EU,0.2666
2024-12,Hip-Hop,EU,0.0898
2025-01,Hip-Hop,EU,0.0925
2025-02,Hip-Hop,EU,0.2527
2025-03,Hip-Hop,EU,0.3714
2025-04,Hip-Hop,EU,0.1821
2025-05,Hip-Hop,EU,0.0668
2025-06,Hip-Hop,EU,0.0816
2023-10,Latin,EU,0.0957
2023-11,Latin,EU,0.0727
2023-12,Latin,EU,0.0671
2024-01,Latin,EU,0.0504
2024-02,Latin,EU,0.0393
2024-03,Latin,EU,0.0328
2024-04,Latin,EU,0.08
2024-05,Latin,EU,0.0995
2024-06,Latin,EU,0.0948
2024-07,Latin,EU,0.1143
2024-08,Latin,EU,0.0946
2024-09,Latin,EU,0.0855
2024-10,Latin,EU,0.0833
2024-11,Latin,EU,0.0816
2024-12,Latin,EU,0.0679
2025-01,Latin,EU,0.2405
2025-02,Latin,EU,0.1638
2025-03,Latin,EU,0.1169
2025-04,Latin,EU,0.1479
2025-05,Latin,EU,0.2073
2025-06,Latin,EU,0.2025
2023-10,Pop,EU,0.3934
2023-11,Pop,EU,0.4297
2023-12,Pop,EU,0.4741
2024-01,Pop,EU,0.3117
2024-02,Pop,EU,0.3431
2024-03,Pop,EU,0.3652
2024-04,Pop,EU,0.413
2024-05,Pop,EU,0.306
2024-06,Pop,EU,0.3112
2024-07,Pop,EU,0.3348
2024-08,Pop,EU,0.4747
2024-09,Pop,EU,0.5303
2024-10,Pop,EU,0.552
2024-11,Pop,EU,0.5622
2024-12,Pop,EU,0.7406
2025-01,Pop,EU,0.5061
2025-02,Pop,EU,0.516
2025-03,Pop,EU,0.4631
2025-04,Pop,EU,0.5958
2025-05,Pop,EU,0.5697
2025-06,Pop,EU,0.5114
2023-10,R&B,EU,0.0633
2023-11,R&B,EU,0.0727
2023-12,R&B,EU,0.073
2024-01,R&B,EU,0.0713
2024-02,R&B,EU,0.0972
2024-03,R&B,EU,0.1295
2024-04,R&B,EU,0.1142
2024-05,R&B,EU,0.0959
2024-06,R&B,EU,0.0566
2024-07,R&B,EU,0.0133
2024-08,R&B,EU,0.0065
2024-09,R&B,EU,0.0009
2024-10,R&B,EU,0.0002
2024-11,R&B,EU,0.0004
2024-12,R&B,EU,0.0049
2025-01,R&B,EU,0.0342
2025-02,R&B,EU,0.018
2025-03,R&B,EU,0.0109
2025-04,R&B,EU,0.0208
2025-05,R&B,EU,0.0859
2025-06,R&B,EU,0.1013
2023-10,Rock,EU,0.0519
2023-11,Rock,EU,0.052
2023-12,Rock,EU,0.072
2024-01,Rock,EU,0.043
2024-02,Rock,EU,0.0241
2024-03,Rock,EU,0.0147
2024-04,Rock,EU,0.0074
2024-05,Rock,EU,0.0069
2024-06,Rock,EU,0.0139
2024-07,Rock,EU,0.0139
2024-08,Rock,EU,0.0103
2024-09,Rock,EU,0.0071
2024-10,Rock,EU,0.0103
2024-11,Rock,EU,0.0047
2024-12,Rock,EU,0.0412
2025-01,Rock,EU,0.0272
2025-02,Rock,EU,0.0098
2025-03,Rock,EU,0.0057
2025-04,Rock,EU,0.0036
2025-05,Rock,EU,0.0124
2025-06,Rock,EU,0.012
2023-10,Electronic,LatAm,0.0154
2023-11,Electronic,LatAm,0.0246
2023-12,Electronic,LatAm,0.0519
2024-01,Electronic,LatAm,0.0854
2024-02,Electronic,LatAm,0.0783
2024-03,Electronic,LatAm,0.0781
2024-04,Electronic,LatAm,0.0914
2024-05,Electronic,LatAm,0.0678
2024-06,Electronic,LatAm,0.04
2024-07,Electronic,LatAm,0.0116
2024-08,Electronic,LatAm,0.0221
2024-09,Electronic,LatAm,0.0292
2024-10,Electronic,LatAm,0.0546
2024-11,Electronic,LatAm,0.0825
2024-12,Electronic,LatAm,0.0881
2025-01,Electronic,LatAm,0.0358
2025-02,Electronic,LatAm,0.0381
2025-03,Electronic,LatAm,0.0658
2025-04,Electronic,LatAm,0.0742
2025-05,Electronic,LatAm,0.1153
2025-06,Electronic,LatAm,0.1233
2023-10,Hip-Hop,LatAm,0.0336
2023-11,Hip-Hop,LatAm,0.0464
2023-12,Hip-Hop,LatAm,0.051
2024-01,Hip-Hop,LatAm,0.0534
2024-02,Hip-Hop,LatAm,0.0741
2024-03,Hip-Hop,LatAm,0.0661
2024-04,Hip-Hop,LatAm,0.07
