artist_id,artist_name,country,region,collaborator_id,collaborator_name,collab_country,collab_region,collaboration_count,year
933fdeae-ec68-48e9-a752-8bcfd44bc429,Rory Gallagher,IE,Europe,d201e6c0-103d-4a9a-9969-909bd421ddad,The Dubliners,IE,Europe,1,1997
cabb4fcf-4067-4ba5-908d-76ee66fcf0c6,Diddy,US,North America,ebcd0bad-75ef-4203-b7b3-7af38a9ef198,Faith Evans,US,North America,1,1997
9132d515-dc0e-4494-85ae-20f06eed14f9,112,US,North America,cabb4fcf-4067-4ba5-908d-76ee66fcf0c6,Diddy,US,North America,1,1997
9132d515-dc0e-4494-85ae-20f06eed14f9,112,US,North America,ebcd0bad-75ef-4203-b7b3-7af38a9ef198,Faith Evans,US,North America,1,1997
d55fe7ec-3c7f-44e7-b9cc-b025c4351f70,Gabrielle,GB,Europe,ee20d564-25ca-4ef5-aba7-93a39f78ed60,East 17,GB,Europe,1,1997
257a5a4c-f771-47df-8a08-643af54f40ea,Stefan Waggershausen,DE,Europe,e32f2cd6-8695-4914-9c24-72e02ebd09ee,Alice,IT,Europe,1,1997
11efddab-fb92-4cb5-a9ab-73de46c6e007,The Joy Boys,AU,Oceania,65754c31-372d-473e-9b69-737720af831f,Col Joye,AU,Oceania,1,1997
f545eed4-cd4c-40a3-89c0-edf4d195e52e,Da Brat,US,North America,fb75bc76-a50b-4d3a-b060-63092a4c6bbf,Jermaine Dupri,US,North America,3,1997
3147d177-73e3-44a3-ac08-98096e75dccc,Wolfgang Niedecken,DE,Europe,6add35d5-1e7f-47a3-ba3e-2765a52ab6bf,Wolfgang Ambros,AT,Europe,1,1997
cfbc0924-0035-4d6c-8197-f024653af823,Nas,US,North America,db76c5ca-d555-4f09-b1db-baa1b713d875,Mary J. Blige,US,North America,2,1997
0f107c1d-8c70-40bc-b7b2-501d0bd59085,Rod D.,US,North America,3f4124cf-956c-4c93-98c4-76cd30b8dcfa,Garcia,DE,Europe,1,1998
62173ce5-37ef-41b1-86cd-45401a8955fc,Technotronic,BE,Europe,7197c293-7710-40fd-b04a-89e4cac9b857,D.O.N.S.,DE,Europe,1,1998
090e9c0a-6767-49e0-8f51-84a43226a174,Peter Andre,AU,Oceania,85d7666c-d3ce-4e2c-8b1b-f20db7cdae4f,Warren G,US,North America,1,1998
92cc3eab-f36c-4709-ac16-f49cbf6e54ab,Double Trouble,GB,Europe,ddd89303-ab27-4b5f-9c84-f04d6db8ea3b,Rebel MC,GB,Europe,13,1989
847e8a0c-cc20-4213-9e16-975515c2a926,Céline Dion,CA,North America,bf6c29f5-b69f-4842-9031-37f9645d365d,Carole King,US,North America,1,1998
deb898e0-b894-4be3-838b-d4e0673867f6,Shelley Nelson,GB,Europe,e9da0f61-78df-4918-8f1b-374b01a6abda,Tin Tin Out,GB,Europe,1,1998
